DIRECTORIO,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato
7122220,7,1,1,1,6,3,1
7122221,7,1,1,1,4,1,3
7122222,7,1,2,1,4,1,3
7122225,7,1,1,1,5,1,3
7122226,7,1,1,1,6,3,1
7122227,7,1,1,1,6,3,1
7122228,7,1,1,1,4,4,1
7122229,7,1,1,1,6,3,1
7122230,7,1,1,1,6,3,1
7122231,7,1,2,1,4,1,2
7122232,7,1,1,1,4,3,1
7122233,7,1,1,1,4,3,1
7122234,7,1,2,1,4,1,2
7122235,7,1,1,1,4,2,2
7122236,7,1,2,1,4,1,2
7122237,7,1,2,1,4,1,2
7122238,4,1,2,1,4,3,3
7122240,4,1,1,1,4,1,2
7122241,4,1,1,1,4,1,2
7122242,4,1,2,1,4,1,3
7122244,4,1,2,1,4,1,2
7122245,4,1,3,1,4,1,3
7122246,4,1,2,1,4,1,3
7122247,4,1,1,1,4,1,3
7122248,4,1,1,1,4,1,3
7122249,4,1,2,1,4,2,3
7122250,4,1,1,1,4,1,3
7122251,4,1,2,1,4,1,2
7122252,4,1,2,1,4,1,3
7122253,4,1,2,1,4,1,2
7122255,4,1,1,2,6,2,2
7122257,4,1,2,1,4,1,3
7122258,4,1,3,1,4,1,3
7122259,4,1,2,1,4,1,3
7122261,4,1,2,1,4,1,3
7122262,4,1,3,1,4,1,3
7122263,4,1,2,1,4,1,3
7122264,4,1,1,1,4,3,1
7122265,4,1,1,1,6,3,1
7122268,4,1,1,1,4,3,1
7122269,4,1,1,1,6,3,1
7122270,4,1,1,1,6,3,1
7122271,4,1,1,1,6,3,1
7122272,4,1,1,1,6,3,1
7122273,4,1,1,1,6,3,1
7122274,4,1,1,1,6,3,1
7122275,4,1,1,1,4,3,1
7122276,4,1,1,1,6,3,1
7122277,4,1,1,1,6,3,1
7122278,4,1,1,1,4,3,1
7122279,4,1,1,1,4,3,1
7122281,4,1,1,1,6,3,1
7122282,4,1,1,1,6,3,1
7122283,4,1,1,1,6,3,1
7122284,4,1,1,1,6,3,1
7122285,4,1,1,1,6,3,1
7122286,4,1,1,1,6,3,1
7122287,4,1,1,1,6,3,1
7122289,4,1,1,1,7,3,1
7122290,4,1,1,1,6,3,1
7122291,4,1,1,1,6,3,1
7122292,4,1,1,1,6,3,1
7122293,4,1,1,1,6,3,1
7122294,4,1,2,1,4,1,1
7122297,4,1,1,1,4,3,1
7122298,4,1,1,1,6,3,1
7122299,4,1,2,1,4,1,1
7122300,4,1,1,1,6,3,1
7122301,4,1,1,1,6,3,1
7122302,4,1,2,1,4,1,1
7122303,4,1,1,1,6,3,1
7122304,4,1,1,1,6,3,1
7122306,4,1,1,1,4,3,1
7122307,4,1,1,1,6,3,1
