DIRECTORIO,Parentesco,Recibieron_Subsidio,Dinero_subsidio,SubsidioS
7200155,1,1,1300000,1
7200161,1,1,40000,1
7200167,1,1,540000,1
7200177,1,1,800000,1
7200195,1,1,410000,1
7200196,1,1,1051000,1
7200205,1,1,1400000,1
7200209,1,1,510000,1
7200210,1,1,570000,1
7200211,1,3,4000000,1
7200212,1,1,280000,1
7200221,1,4,1150000,1
7200235,1,1,200000,1
7200237,1,3,232000,1
7200238,1,1,615000,1
7200242,1,2,900000,1
7200243,1,2,800000,1
7200245,1,7,99,1
7200250,1,1,120000,1
7200251,1,2,300000,1
7200253,1,1,900000,1
7200259,1,1,300000,1
7200268,1,1,760000,1
7200269,1,1,1200000,1
7200275,1,1,3000000,1
7200277,1,1,200000,1
7200288,1,5,750000,1
7200289,1,9,550000,1
7200290,1,1,1045000,1
7200293,1,1,400000,1
7200299,1,1,640000,1
7200301,1,1,30000,1
7200307,1,5,700000,1
7200309,1,1,400000,1
7200311,1,1,100000,1
7200317,1,2,840000,1
7200321,1,2,723000,1
7200323,1,3,200000,1
7200325,1,3,600000,1
7200328,1,4,780000,1
7200329,1,2,700000,1
7200337,1,4,410000,1
7200337,2,1,100000,1
7200573,1,1,400000,1
7200997,1,2,18218552,1
7201045,1,1,900000,1
7201046,1,1,1000000,1
7201108,1,1,1600000,1
7201620,1,2,2280000,1
7201728,1,1,1700000,1
7201819,1,3,4320000,1
7201830,1,1,1200000,1
7201831,1,1,120000,1
7201834,1,1,1000000,1
7201838,1,1,1000000,1
7201841,1,1,1200000,1
7201844,1,1,960000,1
7201846,1,1,1500000,1
7201853,1,1,2500000,1
7201858,1,1,1200000,1
7201863,1,4,1200000,1
7201864,1,1,99,1
7201868,1,3,99,1
7201869,1,3,1200000,1
7201879,1,1,800000,1
7201880,1,4,99,1
7201901,1,2,99,1
7201919,1,1,103000,1
7201920,1,2,1560000,1
7201967,1,1,1200000,1
7202126,1,1,840000,1
7202175,1,1,8400000,1
7202201,1,1,250000,1
7202235,1,2,1500000,1
7202236,1,2,1500000,1
7202237,1,2,1500000,1
7202286,1,1,700000,1
7202309,1,1,400000,1
7202570,1,1,360000,1
7202571,1,1,384000,1
7202576,1,3,936000,1
7202590,1,3,1080000,1
7202609,1,1,480000,1
7202614,1,2,960000,1
7202639,1,1,100000,1
7202645,1,3,936000,1
7202791,1,1,4000000,1
7202846,1,5,750000,1
7202855,1,1,279000,1
7202860,1,1,1200000,1
7202962,1,1,1400000,1
7202962,1,1,1400000,1
7202993,1,1,700000,1
7203007,1,4,1000000,1
7203023,1,1,700000,1
7203042,1,1,800000,1
7203052,1,1,54000,1
7203063,1,1,800000,1
7203103,1,2,350000,1
7203169,1,1,430000,1
7203182,1,1,1000000,1
7203297,1,1,450000,1
7203633,1,3,700000,1
7203899,1,1,800000,1
7204003,1,1,500000,1
7204083,1,2,240000,1
7204478,1,1,800000,1
7204529,1,1,740000,1
7204541,1,1,780000,1
7204596,1,1,1800000,1
7204599,1,1,560000,1
7204600,1,1,360000,1
7204613,1,1,780000,1
7204848,1,1,800000,1
