DIRECTORIO,ID,Sexo,Edad,Parentesco,Estado_civil,Conyuge,Padre_vive,Madre_vive,Cultura,Campesino,Satisfaccion_vida,Satisfaccion_economica,Satisfaccion_salud,Satisfaccion_trabajo,Felicidad,Tristeza,Escalon_vida,Hijos,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,ORDEN,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Tiene_EPS,Percepcion,Prepagada,Estado_salud,Enfermedad_grave,Sabe_escribir_leer,Estudia?,Nivel_educativo,Publico_privado,Actividad,Pension,Recibe_ingreso,Recibe_ingreso_alimento,Recibe_ingreso_bienes,Recibieron_Subsidio,Dinero_subsidio,SubsidioS,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas
7124809,3,2,43,1,6,2,3,3,6,2,6,99,2,1,5,3,7,0,3,1,1,1,6,4,1,1,3,1,50000,50000,1,1,2,2,4,2,1,2,3, ,6,2,2,2,2,1.0,600000.0,1.0, , , ,35000,2000
7124854,3,1,38,1,6,1,2,2,6,2,10,10,10,8,5,5,6,2,3,1,1,5,7,4,1,1,1,1,879333,219833,4,1,2,2,3,2,1,2,3, ,1,2,2,2,2,1.0,2000000.0,1.0, ,1, ,30000, 
7124864,3,2,30,1,4, ,2,2,6,1,9,7,7,7,7,0,8,3,3,1,1,5,6,4,1,1,3,2,875833,218958,4,1,3,2,3,2,1,2,7, ,1,2,2,2,2,1.0,670000.0,1.0, , , ,30000, 
7124870,3,1,69,1,6,1,3,3,6,1,10,8,8,8,10,0,10,1,3,2,1,1,4,4,1,1,4,3,2325000,581250,4,1,2,2,2,2,1,2,3, ,1,2,2,2,2,1.0,2400000.0,1.0,1,3,1,52000, 
7124891,3,2,59,1,3, ,1,3,6,2,3,3,3,3,2,10,0,0,3,1,1,1,4,3,2,1,4,2,7125000,3562500,2,1,2,2,3,1,1,2,3, ,4,2,2,2,1,1.0,750000.0,1.0,1,1, ,125000,15000
7124891,3,2,59,1,3, ,1,3,6,2,3,3,3,3,2,10,0,0,3,1,1,1,4,3,2,1,4,2,7125000,3562500,2,1,2,2,3,1,1,2,3, ,4,2,2,2,1,1.0,750000.0,1.0,1,1, ,125000,15000
7124957,3,2,20,1,6,2,2,2,6,2,9,10,10,10,5,5,5,0,3,1,1,1,4,4,2,1,3,2,1041666,520833,2,1,2,2,2,2,1,1, ,1,1,1,2,2,2,1.0,2400000.0,1.0, , , ,25000,20000
7124957,3,2,20,1,6,2,2,2,6,2,9,10,10,10,5,5,5,0,3,1,1,1,4,4,2,1,3,2,1041666,520833,2,1,2,2,2,2,1,1, ,1,1,1,2,2,2,1.0,2400000.0,1.0, , , ,25000,20000
7125275,3,2,40,1,4, ,2,2,6,1,10,5,5,5,10,0,10,1,2,2,1,1,4,4,2,1,3,2,1553333,517777,3,1,3,2,2,1,1,2,3, ,1,2,2,2,2,1.0,2080000.0,1.0, ,2, ,99930, 
7125358,3,2,47,1,4, ,3,3,6,2,10,10,5,9,4,7,10,1,2,1,2,1,6,1,1,1,4,2,1631000,407750,4,1,2,2,3,1,1,2,3, ,1,2,2,2,2,1.0,400000.0,1.0,2,1, ,148000,28000
7125363,3,2,41,1,6,1,3,2,6,2,7,0,8,8,8,0,6,2,2,1,1,1,4,4,2,1,2,1,2238166,559541,4,1,4,2,2,2,1,2,11, ,1,1,2,2,2,1.0,800000.0,1.0,3,1, ,60000, 
7125600,3,2,51,1,2,1,3,3,6,1,10,4,2,10,3,9,3,3,3,1,1,1,4,3,2,1,4,3,2436666,406111,6,1,3,2,2,2,1,2,3, ,4,2,2,2,2,1.0,1700000.0,1.0, ,3, ,35000,23000
7125674,3,1,45,1,2,1,2,2,6,2,10,10,10,10,10,0,10,2,3,1,2,1,4,4,2,1,3,2,1723481,430870,4,1,3,2,2,2,1,2,4, ,1,1,2,2,2,2.0,720000.0,1.0,1,1,1,40000,15000
7125760,3,2,27,1,2,1,2,2,6,1,10,5,9,9,10,0,10,0,3,1,2,1,4,3,5,1,4,1,2410296,1205148,2,1,1,1,1,2,1,2,7, ,1,1,2,2,2,1.0,400000.0,1.0,2,2,3,130000, 
7125760,3,2,27,1,2,1,2,2,6,1,10,5,9,9,10,0,10,0,3,1,2,1,4,3,5,1,4,1,2410296,1205148,2,1,1,1,1,2,1,2,7, ,1,1,2,2,2,1.0,400000.0,1.0,2,2,3,130000, 
