Hijos,Edad,Cultura,Felicidad,Ingreso_Hogares,Ingreso_Per_capita,Nivel_educativo,Actividad
0,62,6,10,6200000,3100000,5,1
0,62,6,10,6200000,3100000,5,1
0,47,6,10,6200000,3100000,4,1
0,47,6,10,6200000,3100000,4,1
2,48,6,4,2285000,571250,3,4
2,47,6,5,2285000,571250,5,1
0,66,6,8,1000000,1000000,4,1
2,70,6,10,3140000,448571,5,1
2,61,6,10,3140000,448571,3,4
1,55,6,10,1325148,662574,3,4
0,25,6,7,3975000,993750,11,1
0,25,6,7,3975000,993750,11,1
0,25,6,7,3975000,993750,11,1
0,25,6,7,3975000,993750,11,1
1,71,6,10,1855365,463841,4,4
0,63,6,7,1340000,446666,5,4
0,63,6,7,1340000,446666,5,4
0,63,6,7,1340000,446666,5,4
0,59,6,5,1340000,446666,5,5
0,59,6,5,1340000,446666,5,5
0,59,6,5,1340000,446666,5,5
3,43,6,7,1953333,390666,5,1
1,43,6,10,2883333,961111,5,4
1,78,6,10,1092500,546250,3,5
2,40,6,10,3695000,923750,5,1
2,38,6,10,3695000,923750,5,1
0,42,6,8,1700000,1700000,5,2
1,26,6,8,1310395,436798,5,4
2,49,6,7,1280000,320000,5,4
2,44,6,10,1280000,320000,7,6
1,88,6,9,3567791,891947,3,4
0,28,6,10,2624933,1312466,11,1
0,28,6,10,2624933,1312466,11,1
0,32,6,3,2624933,1312466,11,1
0,32,6,3,2624933,1312466,11,1
1,68,6,8,2339383,467876,4,4
1,63,6,8,2339383,467876,4,4
1,63,6,10,3078116,769529,9,1
1,61,6,9,3078116,769529,5,4
1,54,6,10,4716333,1572111,4,2
1,48,6,9,4716333,1572111,4,1
2,30,6,10,25322666,5916666,10,6
2,30,6,8,25322666,5916666,11,4
1,70,6,6,3541666,1180555,3,4
1,62,6,6,3541666,1180555,5,4
0,68,5,10,2308166,1154083,3,4
0,68,5,10,2308166,1154083,3,4
0,63,6,10,2308166,1154083,3,4
0,63,6,10,2308166,1154083,3,4
2,58,6,7,2632000,877333,5,4
2,43,6,7,3625000,906250,11,1
2,42,6,9,3625000,906250,11,1
1,56,5,10,6991666,2330555,7,1
1,56,6,10,6991666,2330555,9,1
0,69,6,8,6375000,3187500,11,1
0,69,6,8,6375000,3187500,11,1
0,59,6,5,6375000,3187500,11,4
0,59,6,5,6375000,3187500,11,4
2,41,6,8,11363675,2389583,11,1
2,37,6,9,11363675,2389583,13,1
0,69,6,8,6658333,6658333,13,4
0,80,6,10,4125000,2062500,3,1
0,80,6,10,4125000,2062500,3,1
0,77,1,2,4125000,2062500,4,1
0,77,1,2,4125000,2062500,4,1
0,42,6,10,1800000,1800000,7,1
0,73,6,8,4508333,4508333,11,4
1,39,6,7,8323333,2774444,11,1
1,38,6,9,8323333,2774444,11,1
0,59,6,9,8507916,8507916,13,1
0,73,6,8,8201149,8201149,13,6
2,59,6,8,10425000,2606250,13,1
2,58,6,9,10425000,2606250,7,4
3,73,6,9,22030833,4406166,13,4
1,75,6,9,3000000,750000,11,4
1,64,6,5,3000000,750000,4,4
0,62,6,10,21500000,10750000,13,6
0,62,6,10,21500000,10750000,13,6
0,64,6,8,21500000,10750000,11,6
0,64,6,8,21500000,10750000,11,6
0,36,6,10,8000000,4000000,13,1
0,36,6,10,8000000,4000000,13,1
0,45,6,10,46000000,23000000,13,1
0,45,6,10,46000000,23000000,13,1
0,48,6,10,46000000,23000000,13,1
0,48,6,10,46000000,23000000,13,1
2,50,6,8,6300000,1575000,11,1
2,52,6,8,6300000,1575000,13,1
0,57,6,10,19956666,9978333,13,1
0,57,6,10,19956666,9978333,13,1
0,66,6,10,19956666,9978333,13,1
0,66,6,10,19956666,9978333,13,1
1,54,6,10,2937768,734442,3,1
2,54,6,7,1648833,412208,4,1
2,50,6,5,1648833,412208,4,4
1,43,5,10,2741666,1370833,5,4
1,49,6,6,940000,313333,3,1
1,50,6,5,940000,313333,3,4
2,33,6,6,2025000,405000,6,1
2,32,5,5,2025000,405000,7,1
1,27,6,10,10500000,3500000,7,1
3,56,5,9,1856945,371389,5,6
3,50,5,10,1856945,371389,7,4
2,48,6,10,2802485,560497,5,1
2,46,6,9,2802485,560497,8,4
1,34,6,10,2886666,962222,7,1
1,28,6,10,2886666,962222,5,4
0,26,6,10,2858333,2858333,5,1
2,46,6,10,5417000,1354250,7,1
2,46,6,10,5417000,1354250,11,1
0,69,6,8,2025241,1012620,3,1
0,69,6,8,2025241,1012620,3,1
0,64,6,8,2025241,1012620,3,4
0,64,6,8,2025241,1012620,3,4
0,60,6,10,2083333,2083333,1,1
0,23,5,5,2626198,1313099,6,1
0,23,5,5,2626198,1313099,6,1
0,71,5,10,2250000,1125000,7,6
0,71,5,10,2250000,1125000,7,6
0,54,5,10,2250000,1125000,11,4
0,54,5,10,2250000,1125000,11,4
0,71,5,10,5433333,2716666,3,1
0,71,5,10,5433333,2716666,3,1
0,67,5,10,5433333,2716666,5,4
0,67,5,10,5433333,2716666,5,4
1,47,6,8,2546666,848888,5,1
1,40,6,8,2546666,848888,5,4
2,49,5,10,1260000,315000,1,1
2,47,5,6,1260000,315000,3,4
1,39,5,8,757500,252500,7,1
1,57,6,4,1888000,944000,3,4
2,39,6,8,3064833,766208,5,1
2,39,5,10,3064833,766208,7,1
1,28,6,8,1035157,345052,3,1
1,27,6,5,1035157,345052,5,4
1,32,6,8,1835000,458750,4,1
1,45,6,4,500000,250000,4,1
2,47,6,10,1514000,302800,5,1
2,50,6,0,1514000,302800,3,4
2,54,6,7,1634000,408500,4,1
2,49,6,9,1634000,408500,5,4
1,72,6,10,1566666,522222,3,4
2,41,6,10,2328243,582060,3,1
2,41,6,10,2328243,582060,4,4
1,62,6,9,2196032,732010,5,1
1,44,6,7,2196032,732010,5,1
0,51,5,10,1295000,431666,3,1
0,51,5,10,1295000,431666,3,1
0,51,5,10,1295000,431666,3,1
0,32,5,10,1295000,431666,5,4
0,32,5,10,1295000,431666,5,4
0,32,5,10,1295000,431666,5,4
0,71,6,5,2513333,1256666,3,6
0,71,6,5,2513333,1256666,3,6
0,63,5,7,2513333,1256666,9,4
0,63,5,7,2513333,1256666,9,4
1,45,5,10,850000,283333,3,1
1,41,5,10,850000,283333,3,4
1,59,5,7,4534333,1511444,9,1
1,56,5,10,4534333,1511444,5,4
2,69,6,10,6142516,1535629,4,4
0,62,6,10,2766666,1383333,5,4
0,62,6,10,2766666,1383333,5,4
3,66,6,3,3658333,731666,7,6
3,63,6,2,3658333,731666,7,4
0,77,6,9,2406666,1203333,5,6
0,77,6,9,2406666,1203333,5,6
0,66,6,10,2406666,1203333,3,4
0,66,6,10,2406666,1203333,3,4
1,63,6,8,6383333,1595833,3,4
1,63,6,8,6383333,1595833,4,1
1,58,6,0,2450000,612500,4,4
1,50,6,8,1900000,633333,5,4
1,37,6,9,1900000,633333,9,4
1,49,6,8,670000,223333,3,2
2,29,6,8,970500,242625,4,4
2,68,6,5,1480000,370000,3,4
1,59,5,10,1100000,366666,3,5
1,59,5,5,1100000,366666,1,4
3,47,6,10,1929000,385800,3,4
3,38,6,3,1929000,385800,3,5
2,53,6,9,1314000,438000,3,4
2,56,6,4,1330000,221666,3,4
0,60,6,5,330000,330000,1,1
2,53,6,3,1925116,481279,7,1
2,29,6,10,3083333,616666,7,1
2,47,6,9,1039500,259875,3,1
2,42,6,10,1039500,259875,3,4
1,45,6,8,2957416,591483,4,4
1,53,6,7,2957416,591483,3,1
1,38,6,10,880000,440000,3,1
2,53,6,8,5883333,840476,4,1
2,53,6,6,5883333,840476,4,1
1,35,6,4,951666,475833,3,1
1,45,6,6,854166,427083,5,1
