DIRECTORIO,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Recibieron_Subsidio,Dinero_subsidio,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas
7133955,2.0,2.0,1.0,1.0,6.0,1.0,2,3,2,2469500,352785,7,1,480000, ,2, ,20000, 
7134073,2.0,1.0,2.0,1.0,4.0,1.0,3,4,3,1179000,294750,4,1,500000,2,1,1,60000,8000
7134373,3.0,1.0,1.0,5.0,6.0,4.0,1,1,1,234583,78194,3,1,415000,1,2, ,55000, 
7134403,3.0,2.0,1.0,5.0,6.0,4.0,1,2,2,896666,298888,3,1,8000000, , , ,7000, 
7134692,2.0,2.0,1.0,1.0,4.0,3.0,2,2,2,1020666,204133,5,5,2000000,2, , ,0, 
7135093,2.0,2.0,1.0,5.0,7.0,4.0,1,4,1,650000,325000,2,1,600000,1,2, ,53000,13550
7135160,2.0,2.0,1.0,1.0,6.0,4.0,2,3,2,775000,258333,3,1,300000,2,2, ,22800, 
7135164,2.0,2.0,1.0,1.0,4.0,3.0,2,2,1,530000,132500,4,2,1200000,2,1, ,24590, 
7135291,7.0,1.0,1.0,1.0,6.0,1.0,1,4,3,512500,102500,5,5,930000, ,1, ,41000,10000
7135308,4.0,1.0,2.0,1.0,4.0,1.0,2,5,3,1741666,580555,3,1,300000,2,2,1,50000,25000
7136138,6.0,2.0,1.0,5.0,6.0,4.0,1,2,1,1201833,400611,3,1,826000,3,1, ,25000, 
7136143,6.0,2.0,1.0,5.0,7.0,3.0,1,3,2,420000,140000,3,1,500000,3,1, ,15000, 
7136525,9.0,1.0,1.0,5.0,6.0,4.0,1,5,4,3033333,505555,6,1,800000, , , ,7000, 
7136596,9.0,2.0,1.0,1.0,6.0,4.0,1,2,1,1450000,725000,2,1,15000000, ,2, ,13000, 
7136644,9.0,1.0,1.0,5.0,5.0,4.0, ,3,2,410833,136944,3,1,60000, , , , , 
7136656,9.0,1.0,1.0,1.0,6.0,4.0,1,2,2,2558166,639541,4,1,1116000, ,2, ,7000, 
7136763,,,,,,,,4,3,2076666,1038333,2,1,400000, ,2, ,280000,70000
7137053,1.0,2.0,1.0,3.0,7.0,4.0,1,2,1,463750,115937,4,2,520000,2,1, ,0, 
7137100,1.0,2.0,1.0,1.0,4.0,3.0,1,3,2,1180000,393333,3,2,240000,2,2,2,108400,8550
7137313,2.0,1.0,1.0,1.0,4.0,1.0,2,3,1,195666,97833,2,1,1274000,2,1, ,3333,10000
7137314,2.0,1.0,1.0,2.0,6.0,3.0,2,5,1,525666,175222,3,3,600000,1,3, ,12495, 
7137663,9.0,2.0,1.0,5.0,5.0,4.0, ,2,1,1225000,612500,2,1,12000000, , , , , 
7137684,9.0,2.0,1.0,5.0,5.0,3.0,8,1,1,1404166,1404166,1,1,15000000, , , ,0, 
